sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
9.541;992;;1000rounds;Yes;No;4;0.19062;0.94048;0.00000;0.72417;2.68933;Agent1@6;Agent1@7;Agent1@8;Agent1@9;0.6516666666666666;0.19062454341760504;0.906562427210441;0.9404753000000001;0.6516666666666666;0.19062454341760504;0.906562427210441;0.9404753000000001;0.6516666666666666;0.19062454341760504;0.906562427210441;0.9404753000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.384;992;;1000rounds;Yes;No;4;0.36097;0.97619;0.00000;0.61413;2.79292;Agent2@10;Agent1@11;Agent1@12;Agent1@13;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.360;992;;1000rounds;Yes;No;4;0.47269;0.96428;0.00000;0.44913;2.97044;Agent3@14;Agent1@15;Agent1@16;Agent1@17;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;0.7091666666666666;0.4726898386286933;0.8242987549097534;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
9.304;992;;1000rounds;Yes;No;4;0.37187;0.95238;0.00000;0.59406;2.87205;RandomBidderExample@18;Agent1@19;Agent1@20;Agent1@21;0.6141666666666666;0.3718686675254122;0.9336368949374793;0.95238005;0.6141666666666666;0.3718686675254122;0.9336368949374793;0.95238005;0.6141666666666666;0.3718686675254122;0.9336368949374793;0.95238005;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.952;992;;1000rounds;Yes;No;4;0.29145;0.95238;0.00000;0.59115;2.78772;Agent1@22;Agent2@23;Agent1@24;Agent1@25;0.7466666666666667;0.2914457145208862;0.7972242871827151;0.9523801000000001;0.7466666666666667;0.2914457145208862;0.7972242871827151;0.9523801000000001;0.7466666666666667;0.2914457145208862;0.7972242871827151;0.9523801000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
21.185;992;;1000rounds;Yes;No;4;0.44394;0.95889;0.00000;0.55678;2.81080;Agent2@26;Agent2@27;Agent1@28;Agent1@29;0.5508333333333333;0.4439431513391262;0.9588854050078842;0.85714205;0.5508333333333333;0.4439431513391262;0.9588854050078842;0.85714205;0.5508333333333333;0.4439431513391262;0.9588854050078842;0.85714205;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
22.595;992;;1000rounds;Yes;No;4;0.30723;0.92857;0.10585;0.57892;2.62129;Agent3@30;Agent2@31;Agent1@32;Agent1@33;0.6708333333333333;0.3072252965760272;0.7146605953577032;0.9285706;0.6708333333333333;0.3072252965760272;0.7146605953577032;0.9285706;0.6708333333333333;0.3072252965760272;0.7146605953577032;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.728;992;;1000rounds;Yes;No;4;0.19620;0.95238;0.00000;0.73039;2.61000;RandomBidderExample@34;Agent2@35;Agent1@36;Agent1@37;0.5916666666666667;0.19619949548693877;0.8697578577605313;0.9523800750000001;0.5916666666666667;0.19619949548693877;0.8697578577605313;0.9523800750000001;0.5916666666666667;0.19619949548693877;0.8697578577605313;0.9523800750000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.797;992;;1000rounds;Yes;No;4;0.26694;0.98809;0.00000;0.62212;2.77464;Agent1@38;Agent3@39;Agent1@40;Agent1@41;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
21.073;992;;1000rounds;Yes;No;4;0.28341;0.97619;0.00000;0.60579;2.77445;Agent2@42;Agent3@43;Agent1@44;Agent1@45;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
