sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.540;143;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent1@78;Agent1@79;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
32.338;3239;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent2@80;Agent1@81;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.571;59;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent3@86;Agent1@87;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.026;8;;60s;Yes;No;2;0.82143;0.86977;0.04413;0.09524;1.69120;RandomBidderExample@88;Agent1@89;0.8214278250000001;0.8697675500570125;0.8214278250000001;0.8697675500570125;0.8214278250000001;0.8697675500570125;party4_utility.xml;party8_utility.xml
59.405;14427;;60s;Yes;No;2;0.57866;0.96428;0.05621;0.29568;1.54295;AgentLG@90;Agent1@91;0.964284825;0.5786624101953272;0.964284825;0.5786624101953272;0.0;0.5786624101953272;party4_utility.xml;party8_utility.xml
3.559;384;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent1@104;Agent2@105;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
39.802;2689;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent2@106;Agent2@107;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.583;41;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent3@112;Agent2@113;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.772;78;;60s;Yes;No;2;0.82143;0.86977;0.04413;0.09524;1.69120;RandomBidderExample@114;Agent2@115;0.8214278250000001;0.8697675500570125;0.8214278250000001;0.8697675500570125;0.8214278250000001;0.8697675500570125;party4_utility.xml;party8_utility.xml
39.797;4375;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;AgentLG@116;Agent2@117;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.0;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.544;59;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent1@126;Agent3@127;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.649;45;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent2@128;Agent3@129;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.572;39;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent3@130;Agent3@131;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.006;2;;60s;Yes;No;2;0.80952;0.95659;0.00000;0.13745;1.76611;RandomBidderExample@132;Agent3@133;0.8095230750000002;0.9565892377711768;0.8095230750000002;0.9565892377711768;0.8095230750000002;0.9565892377711768;party4_utility.xml;party8_utility.xml
16.384;1861;;60s;Yes;No;2;0.62207;1.00000;0.00000;0.26202;1.62207;AgentLG@134;Agent3@135;0.9999991;0.6220729745684846;0.9999991;0.6220729745684846;0.0;0.6220729745684846;party4_utility.xml;party8_utility.xml
0.053;18;;60s;Yes;No;2;0.83185;0.86905;0.06132;0.06132;1.70090;Agent1@140;RandomBidderExample@141;0.8690468250000001;0.8318536723622079;0.8690468250000001;0.8318536723622079;0.8690468250000001;0.8318536723622079;party4_utility.xml;party8_utility.xml
0.046;6;;60s;Yes;No;2;0.87048;0.91667;0.00000;0.00000;1.78715;Agent2@142;RandomBidderExample@143;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;0.9166658250000002;0.8704837579905863;party4_utility.xml;party8_utility.xml
0.034;5;;60s;Yes;No;2;0.82636;0.94048;0.00000;0.05014;1.76683;Agent3@144;RandomBidderExample@145;0.94047535;0.8263564267160057;0.94047535;0.8263564267160057;0.94047535;0.8263564267160057;party4_utility.xml;party8_utility.xml
59.401;21550;;60s;Yes;No;2;0.65476;0.80782;0.17694;0.26930;1.46258;RandomBidderExample@146;RandomBidderExample@147;0.65476135;0.8078202135373681;0.65476135;0.8078202135373681;0.65476135;0.8078202135373681;party4_utility.xml;party8_utility.xml
59.403;16006;;60s;Yes;No;2;0.57830;0.97619;0.04983;0.29818;1.55449;AgentLG@156;RandomBidderExample@157;0.9761896000000001;0.5783040267446156;0.9761896000000001;0.5783040267446156;0.0;0.5783040267446156;party4_utility.xml;party8_utility.xml
59.401;14620;;60s;Yes;No;2;0.73809;0.95587;0.01195;0.19794;1.69397;Agent1@170;AgentLG@171;0.7380945999999999;0.9558726687254194;0.7380945999999999;0.9558726687254194;0.7380945999999999;0.0;party4_utility.xml;party8_utility.xml
59.404;5378;;60s;Yes;No;2;0.84524;0.91354;0.00000;0.08340;1.75877;Agent2@184;AgentLG@185;0.8452373250000002;0.9135364978808815;0.8452373250000002;0.9135364978808815;0.8452373250000002;0.0;party4_utility.xml;party8_utility.xml
11.581;1244;;60s;Yes;No;2;0.75000;0.95695;0.00000;0.18776;1.70695;Agent3@196;AgentLG@197;0.7499993250000001;0.9569472601097047;0.7499993250000001;0.9569472601097047;0.7499993250000001;0.0;party4_utility.xml;party8_utility.xml
8.931;2935;;60s;Yes;No;2;0.80952;0.95659;0.00000;0.13745;1.76611;RandomBidderExample@198;AgentLG@199;0.8095230750000002;0.9565892377711768;0.8095230750000002;0.9565892377711768;0.8095230750000002;0.0;party4_utility.xml;party8_utility.xml
59.976;14983;;60s;Yes;No;2;0.80952;0.95659;0.00000;0.13745;1.76611;AgentLG@204;AgentLG@205;0.8095230750000002;0.9565892377711768;0.8095230750000002;0.9565892377711768;0.0;0.0;party4_utility.xml;party8_utility.xml
