12,1,0.0018920233333333332,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
12,2,0.0020002466666666665,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
13,1,0.0020496033333333333,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
13,2,0.00214683,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2])
14,1,0.002189176666666667,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
14,2,0.0022934283333333333,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
15,1,0.002333845,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
15,2,0.002428935,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
16,1,0.0024715483333333332,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
16,2,0.002583958333333333,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
17,1,0.0026307066666666668,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
17,2,0.002743185,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b4, c: c2, d: d2])
18,1,0.00280833,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
18,2,0.002910795,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
19,1,0.00295364,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
19,2,0.0030923350000000003,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2])
20,1,0.003134991666666667,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
20,2,0.00323896,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
